n,mean,low,high,function
401,0.012470959000001471,0.011734327499982555,0.01616459499998938,rm3
402,0.012740021000000183,0.009851189999986333,0.019349142500014693,rm3
403,0.013800688000004016,0.01173509999997293,0.021661160000022047,rm3
404,0.01658336899999995,0.011696560000019928,0.022066169999988006,rm3
405,0.01334599399999945,0.010425339999986249,0.018913830000008146,rm3
406,0.013636770999997907,0.010821042500003842,0.018925152500020203,rm3
407,0.011689214999996124,0.009643172499977481,0.017962967499974523,rm3
408,0.014018219999998678,0.010644792499988398,0.020573467499988847,rm3
409,0.013832845999999108,0.012630880000008914,0.0188691125000048,rm3
410,0.010173359999998298,0.009853447499980916,0.01185603999996942,rm3
411,0.012832130999999549,0.010044422500010343,0.01914599249997906,rm3
